text,label
OKC/LA- OKC in 5 - No Luka early on so I have to assume OKC wins the first 2 games. It’s imperative LA wins the next two at home regardless of who is available if they want any semblance of a chance. If Luka is still not available OKC sweeps. This series is actually more interesting than people make it out to be with the confidence LA role players have had (and any LeBron James led team is an interesting watch) but OKC is the worst possible matchup for LA.,analysis
" NYK/PHI- NYK in 6 - New York seemed to be in dire straights against ATL going down 2-0 but they then rang off 4 straight wins. Their last 3 playoff wins have been 29, 51, and now 39 point win margins. They are playing their best basketball at the perfect time. ",analysis
" DET/ CLE- CLE in 6 - Detroit barely made it out of the first round thanks to Cade Cunningham playing his best ball of the season against Orlando. Still, it’s been “Cade and Friends” so far in the playoffs which will not be tenable against a deep Cleveland team. Cleveland went to 7 in their 4/5 series with Toronto and it was a collective team effort to put that series away. ",analysis
Random goalkeeper in WC game had a good game and went from 50k to 14.5 million followers. Wemby has 6.2 million. Does this show how basketball is not as global as some here think it is?,analysis
I'm pretty sure most ppl are very much aware that the NBA is not a globally followed sport. It really can't be because the sport is played in a time zone were really only about 350 million ppl have access and even out of that the NBA celebrates when it can get 11 million to watch its finals.,analysis
Soccer is obviously more popular than anything else. But basketball is widely underrated because it’s biggest market with a massive population of over a billion people - China - is completely unaccounted for by using metrics like Instagram and Twitter followers ,analysis
"In the first Knicks Championship parade in over 53 years, James Dolan and NYC politicians got 13 minutes of podium mic time. All Knicks players combined got 2 minutes of podium mic time, including 0 minutes for KAT, OG, and Alvarado",analysis
"[Krawczynski] Edwards wants to win right now, and the Wolves are banking on addition by subtraction, believing that removing Randle’s ISO-heavy offensive game and redistributing his 15.3 shots per game to McDaniels and Reid will open things up for Minnesota in a different way.",analysis
Didn’t they literally just re-sign Randle last summer and therefore didn’t have cap space to re-sign NAW? And now they’re just giving up Randle for nothing because of cap constraints anyway while his value is at the lowest it’s been in like 2-3 years? And had to pay Ayo over $10 million more per year than NAW is getting in Atlanta? That’s terrible asset management ,analysis
"“In the midst of a rebuild and over the first apron, barring an unexpected trade, the Sacramento Kings are expected to waive-and-stretch forward DeMar DeRozan, HoopsHype has learned. DeRozan’s $25.74 million expiring contract is only guaranteed for $10 million, which can be stretched over the next three seasons.",analysis
He’s crazy athletic but his highlights are always just tough looks and his handle is poor. That jumper is a huge swing skill and I think the floor is as low as the ceiling high,analysis
Caleb at #4 feels about right. 6'9 wing who can defend multiple positions and knock down the catch-and-shoot three. Needs to get stronger but that frame projects well. Modern 4 who fits pretty much any system.,analysis
"Absolute dog on defense and such a smart passer. If he can extend his range past FT-line jumpers and confidently shoot the 3, he is a steal at this pick.",analysis
"Mitch certainly played a big role in the Knicks success, but any team who pays him big money is likely to be frustrated by how many minutes he can realistically play, his offensive limitations, his free throw shooting, and some of his off court stuff.",analysis
"I love Mitch but whoever pays him thinking he’s gonna be their starting center is gonna regret it. His best function is to spark runs with his defense and especially rebounding but he’s got a lot of limitations (zero offense besides lobs, hack-a-Mitch stuff) that make it tough to give him more than ~15 mins a night and that’s before getting into his durability issues.",analysis
League average changes over time. In 2001 the league average was 51% Iverson had a 52% he was league average back then but is inefficient to today's standards.,analysis
58% and above is considered good now. 54 or below is considered bad. 55-56 would be average,analysis
A 90th percentile figure this year was to be at 0.12 PPP above what league average would suggest you to be given your playtype profile. 0.075 PPP is 75th. -0.045 is 25th percentile and -0.09 is 10th percentile.,analysis
"Long shots create long rebounds, long rebounds can at some level just be random. Big men used to have to create and fight for position to get rebounds, they still do, but a lot of rebounds now fly over them to some 3 and D wing who just happens to be standing there.",analysis
"Mitchell Robinson is single handedly trying prove its value. I’ve heard the advanced stats value of his offensive boards is off the charts. He’s such a threat there that teams are dedicating multiple guys to boxing him out, which is then leaving the kick out 3 even more open when he does get it. He’s also putting up crazy numbers like 9 Oreb in 16 minutes with a super high +/-.",analysis
A big guard or wing like Luka could grab 10 rebounds and it's not seen as detrimental because of the increase in pushing the pace and getting a shot off before the defense sets. Teams have emphasized more on getting back because of this than hammering the glass on the offensive end if they don't have the personnel to bully the other team.,analysis
The rise of the 3pt shot and it’s naturally longer and more sporadic rebounds have made rebounding less of a skill and more luck. We also see teams having the guards do more rebounding on the easy ones simply bc it’s faster than having the big get it and pass to the guard. We also have more missed shots than ever bc of the faster pace and increased number of 3s.,analysis
"3-2-1 lottery changes how those 3 picks and 1 swap are going to be valued. All of a sudden, having the 10th best lottery odds isn't so bad anymore.",analysis
"I’m wholeheartedly against trading Jaylen because I don’t think we can get anyone as good or better than him, but I guess there’s logic enough to listen if it’s an offer involving a super high draft pick simply because of how impactful that would be extending our timeline around Tatum",analysis
"The 2026 NBA Draft Big Board doesn’t reflect the NBA’s recent trend towards International players. It has been well-documented that a player born in the United States hasn’t won MVP since James Harden in 2018.  BUT the top 12 prospects projected to be taken off the board in tonight’s draft played NCAA basketball. Aday Mara, currently projected to be 11th pick by ESPN out of Michigan, is Spanish and Karim Lopez from the NBL, projected to be 13th pick, is Mexican. The remainder of the projected lottery picks were born in the United States. New trend or an outlier year? ",analysis
I believe Boozer will be far and beyond better without question,hot_take
"After one season I bet people will say he or Acuff are the best in the draft, after two or three it’ll be Peterson or AJ, and then down the line it’ll be some very high ceiling guy.",hot_take
He’s gonna be the Jayson Tatum of this draft. Jazz and Wiz are high off potential when Boozer is the most legit.,hot_take
He is going to be a bust too small.,hot_take
I think he’ll be solid 15 pt scorer on a competitive team . On a scrub team maybe 22 pts,hot_take
SGA is actually pretty good. If he would just play instead of relying on his horrible acting he'd be both respectable and up there as one of the actual best players in the league,hot_take
Replace Kobe with an all star caliber wing from the 2000s and Shaq still wins 3 straight with the Lakers,hot_take
"Players don’t typically speak at championship parades very often anymore, in any sport, because they’re often very drunk or high lol",hot_take
"Kennard would be a great fit for them, or Rui. Unfortunately, my Lakers can't keep both.",hot_take
"Giannis didn't want to win, he just wanted to live in Miami.",hot_take
 People remember 1st half of the season of Norm and not the 2nd half of the season of Norm. He is not worth big money in our situation ,hot_take
If they don't get at least two shooters they are going to be the Miami Orlando Magic,hot_take
"Half an hour, 4 picks, the exact way everyone knew I’d would go. Each pick should get 2 minutes max.",hot_take
I dont believe in this pick. He felt overhyped but what do I know!,hot_take
It is obvious. New CBA forces everyone to gut their team eventually,hot_take
"Besides the Lakers, what team would realistically overpay for Mitch.",hot_take
" We have I think 8 guys fully under contract for next year at a total value of around $204 million. Jose has a player option for $4.5m. The second apron is $222m. Assuming Jose takes the PO, that leaves us around $14m to fill 5 roster spots while staying under the apron. Mitch made $15m this year. He would have to take a big paycut to come in under the apron at all, and it severely limits how we can fill out those last few spots. ",hot_take
When are we going to give him shit for flopping on the floor and not getting back on defense the same way Luka gets shit for complaining to refs and not getting back on defense? It's the same,hot_take
Ament is either gonna be an MVP or out of the league in 3 years,hot_take
Swain will just be Naji Marshall if the jumper doesn’t come around,hot_take
Dybantsa. Hasnt developed a reliable outside shot and has quite a few words that aren't substantiated by his performance,hot_take
Cam Boozer doesn’t have the quickness to guard NBA level athletes on the perimeter and isn’t big enough to justify him being your primary rim protector. Anyone thinking he’s an instant 20/10 will be disappointed. Also not a big fan of his scoring bag,hot_take
"AJ, so far he doesn’t seem to have the mindset you’d love to see from your #1 guy. For the Wiz’ sake I hope I’m wrong though, would love to see them go far.",hot_take
Kevin Garnett is the most underrated all-time great because his prime was spent carrying rosters that had no business winning 50 games.,hot_take
Cooper Flagg will have a better career than Luka when it’s all said and done,hot_take
"In all-time convos, I basically treat everything before the merger and 3-point line as a fundamentally different sport/league",hot_take
Kd never wins another playoff series,hot_take
Luka will never win a ring with his style of play. He has slowly become more defensively grounded but I don’t think it will ever get to a dominant point.,hot_take
Mutombo is the 2nd best rim protector of all time.,hot_take
Basically every legit stretch five is underrated by the general public. They are worth their weight in gold in the playoffs,hot_take
The regular season should be ~60 games. The season should start on Christmas and end in August,hot_take
"Devin Harris had the skill to be a top 5 guard of all time, but he had such an unfortunate run in the NBA that most people have forgotten him altogether.",hot_take
Steph Curry the most important player of the last 30 years. The game has fundamentally shifted because of him (and Kerr). No one since MJ has redefined the game as definitively,hot_take
Tim duncan doesnt get the respect he deserves.,hot_take
"Wemby defense is highly overrated bc he’s afforded the luxury to play free safety. To a casual it looks cool because he swarms the paints and can get a lot of blocks like this. But in actuality, it makes everyone else’s job on defense more difficult and isn’t as impressive as being a lockdown man defender.",hot_take
The 12 best USA players today would beat The Dream Team in a 7 game series,hot_take
"High volume scorers who coast on D are hugely overrated, to the extent that it's possible they aren't even net positive players. Particularly if they are undersized for their position.",hot_take
Wemby doesn’t need a post game or any new special moves. He just needs to shoot jumpers from the free throw line and elbows like they are layups.,hot_take
If you pay for NBA TV you should get access to all of the games instead anytime like the NFL’s service.,hot_take
"Analytically, Ben Simmons mental toughness will win games this year.",hot_take
"NBA officiating is about as good as it can possibly be considering the size, speed, and strength of the players.",hot_take
Amen Thompson is going to be the athletic Lu Dort in 5 years,hot_take
Tim Duncan is wildly overrated. He’s the product of coaching and system and if he ever played for a different coach he may not have been as effective. Same can be said for Steph Curry. His style of play works because of the schemes and other player being the primary playmakers.,hot_take
Jaylen brown is highly overrated - Jalen Williams better,hot_take
The NBA instead of staggering all the announcements should just have like an award show like what the NFL does before the finals,hot_take
Lauri Markkanen is a top 10 player being wasted by the Utah Jazz,hot_take
Kobe was better than Curry and Curry is one of the most underwhelming superstars in the finals ever.,hot_take
"Jokic is still far and away the best individual player in the league. NBA fans can’t discern individual success from team success, so thanks to his worse surrounding squad he will go down in NBA history at a much worse rating that he should.",hot_take
"Dame’s whole reputation hinges on one shot he made against a mediocre OKC team led by Russ, otherwise he’d be known as a won-nothing and did-nothing one dimensional player like Melo",hot_take
prime jordan would average max 20ppg in todays game because of his lack in 3pt shooting and modern defense with zone and doubles,hot_take
Heat fans spent two months being told their assets were worthless. One trade later and apparently they just pulled off the heist of the century.,hot_take
This is either going to flame out terribly for the Spurs or be the thread that everyone reposts after their third championship,hot_take
"I’ve a feeling is a three team trade. Booker to Celtics, brown to blazers and young players + picks to suns",hot_take
unless Boston is actively choosing to retool i just don't see any trade package where they trade Brown and are still contenders,hot_take
Kawhi is a better fit for Celtics than Giannis.,hot_take
"I can count the players I'd want more than JB on one hand. 2 way players like him simply don't exist, with the exception of a few.",hot_take
"Ima be honest, I dont think Tatum does as good with the Celtics than brown did last year",hot_take
Steinbach is going to be a good player for 15 years,hot_take
I know right? Pretty incredible for both to be true at once,reaction
Enjoy the play in championship,reaction
It's almost like 3.6 million people might create some differing opinions.,reaction
If he is healthy we are gonna be ridiculous,reaction
If this dude gets healthy holy cow what an addition for San Antonio. Great upside swing,reaction
I hate this pick. Dude is a walking injury and nothing on offense,reaction
Worth the swing for them and will be unbelievable for their defense but that knee is VERY concerning,reaction
NOOOO,reaction
Wizards gonna have a squad next year,reaction
I WANT YOU TO PUT THE WORD OUT THERE THAT WE BACK UP,reaction
Sga is a war criminal,reaction
"disgusting, we need fines for this bs",reaction
THE OKLAHOMA CITY THUNDER HAVE BEEN ELIMINATED FROM 2026 NBA CHAMPIONSHIP CONTENTION,reaction
Miami has to have another deal lined up with a free agent. Their team is gutted.,reaction
I don’t know how they make it happen but Kyrie with Ant on the Wolves would be fire,reaction
Being one of the greatest players ever and still watching games on a laptop is way more relatable than it should be.,reaction
Coward is a future NBAPA president if I’ve ever seen one,reaction
Cedric looks like he works for our front office,reaction
He will surely be the greatest Bull ever drafted out of North Carolina,reaction
With that posterior he’s more relatable to me than AJ,reaction
"So happy Da Bulls took him. I know there was a few people saying about they should take Darius, but I am happy with landing Caleb.",reaction
The spacing dear god the spacing,reaction
Giannis bro. get ready for the 7th seed,reaction
Is that LeBron James’ music!!?!!!?,reaction
Thanasis about to be starting,reaction
New game plan; no perimeter scoring. Everyone jam the paint,reaction
That team is gonna be ass,reaction
The most obvious order of players selected now begins the fun lol 😂,reaction
Best player in the class. Wish OKC traded up for him,reaction
2nd dynasty incoming 😈 (im delusional),reaction
Happy to see him get drafted. I graduated from the same hs as him a few years before he did.,reaction
"Good for Atlanta. If Acuff didn't fall to us, Flemings was who I wanted",reaction
Can't wait to see what KD says on his burner about this kid,reaction
Of course. The Knicks won it all and will be happy for the next 50 years of mediocrity.,reaction
We all know he’s getting those in OKC Saturday,reaction
So desperate to get to the line he can’t hit easy layups.,reaction
Such a pathetic play style,reaction
Gotta love the positivity in the nba community.,reaction
I think he’s a future all star. He’s so good,reaction
"Just what Hornets needed, another elite shooting guard",reaction
Toronto is really about to get Philon gift wrapped to them 😭,reaction
"Love this pick by the Hornets, Anderson is one of my favorite players in the draft",reaction
Memphis all in on those speeadsheets,reaction
Wait we're trading this pick already?,reaction
"Grizzlies cooking, five SRPs to move back 5 spots is insane value",reaction
THATS MY GUYYYY! He's gonna be so tough don't sleep,reaction
Someone explain this trade to me from Memphis’s side,reaction
OKC what are you cooking,reaction
Wow what a draft by Chicago,reaction
Ohhh whaaaat? Thought it was gonna be Cam Carr. New GM is really about the SLAP mantra,reaction
OMG THE BULLS ACTUALLY TOOK WHO I WANTED FOR THE FIRST TIME SINCE ‘NAM. SHOUTOUT ME,reaction
Was hoping for Dailyn Swain!!! Anything to keep Bulls fans from having to watch heavy Isaac Okoro minutes.,reaction
"Bit of a reach but he’s so nice at driving and rebounding the ball, Chicago will be fun next year",reaction
"Ofc the Hornets take a tall white guy, MJs legacy lives on",reaction
Did Adam Silver wake up like 5 mins before the draft or something 😂😂,reaction
As a Michigan fan I could not have imagined Morez and Aday going in the lottery before this college basketball season. Crazy how they proved themselves.,reaction
"the rich get richer, chet gets more help",reaction
25% of the picks to that point came from one sweaty Midwestern locker room 🥵,reaction
